Timestamp,Dosimeter,Magazine,Position,Hp(10) energy corr. fact.,Hp(10) dose,Hp(10) unit,Hp(0.07) dose,Hp(0.07) unit
24/10/2022 15:29,1586,2,1,1.2,0.457,mSv,0.4142,mSv
24/10/2022 15:30,1996,2,2,1.2,0.4513,mSv,0.4291,mSv
24/10/2022 15:30,1849,2,3,1.2,0.4621,mSv,0.4507,mSv
24/10/2022 15:31,1710,2,4,1.2,0.4724,mSv,0.4408,mSv
24/10/2022 15:31,1678,2,5,1.2,0.4744,mSv,0.4312,mSv
24/10/2022 15:32,2049,2,6,1.2,0.4659,mSv,0.4316,mSv
24/10/2022 15:33,1940,2,7,1.2,0.4561,mSv,0.4314,mSv
24/10/2022 15:33,1862,2,8,1.2,0.4599,mSv,0.4241,mSv
24/10/2022 15:34,1864,2,9,1.2,0.4447,mSv,0.4123,mSv
24/10/2022 15:34,1268,2,10,1.2,0.4707,mSv,0.4493,mSv
24/10/2022 15:35,1756,2,11,1.2,0.4492,mSv,0.4321,mSv
24/10/2022 15:36,1616,2,12,1.2,0.4615,mSv,0.4805,mSv
24/10/2022 15:36,1535,2,13,1.2,0.453,mSv,0.4191,mSv
24/10/2022 15:37,1206,2,14,1.2,0.4634,mSv,0.4975,mSv
24/10/2022 15:37,1643,2,15,1.2,0.4489,mSv,0.4295,mSv
24/10/2022 15:38,1814,2,16,1.2,0.4616,mSv,0.4317,mSv
24/10/2022 15:39,1225,2,17,1.2,0.4818,mSv,0.4371,mSv
24/10/2022 15:39,1713,2,18,1.2,0.4683,mSv,0.4342,mSv
24/10/2022 15:40,1340,2,19,1.2,0.4372,mSv,0.4196,mSv
24/10/2022 15:40,1589,2,20,1.2,0.4888,mSv,0.4355,mSv
